Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Oct 16, 2018",Algorithm Engineer Interview,"Anonymous Employee in Allen Park, MI",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at Ford Motor Company (Allen Park, MI) in September 2018.","I applied online, I had telephonic 2 rounds of interviews/discussions. After qualifying these, I was interviewed in person by a panel. I got the offer after a week. HR were very helpful throughout the hiring process and always responded to emails relatively quickly",Few high-level technical questions from my day to day job and a few behavioral questions. Â  1 Answer
"Oct 14, 2018",Ford College Graduate Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Easy Interview,I applied through a recruiter. I interviewed at Ford Motor Company.,"A manager messaged me as they found my resume online and gave me a quick phone interview. After that told me to apply and take a really simple assessment test online. Once that was done they held interviews on my campus, this is where I had a behavior 2-1 interview. Its been a couple of weeks and I haven't heard back so I'm guessing I wasn't a candidate that they were looking for.",Strictly behavior. Background. Problems faced after making a wrong decision. How would you handle a co-worker that is slacking? and so on. Â  Answer Question
"Oct 11, 2018",Graduate Program - Marketing and Sales Interview,Anonymous Interview Candidate in Melbourne (Australia),No Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at Ford Motor Company (Melbourne (Australia)) in May 2017.,"Applied online, passed the online test and assessment centre. AC started from 9am and finished around 2pm. Group case studies followed by an individual interview.

There were 2 rounds of final interviews, the first one was with managers asking mostly behavioural questions and the second one was with HR team focusing on the personality type of questions. The whole process took around one and a half of hour.",What do other people perceive you? Â  Answer Question
"Oct 6, 2018",Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,Very structured. They read questions from a piece of paper and did not open up to much personal conversation. Took a tour of the factory which was pretty sweet. They will fly you out if you get it.,,"Tell me about a team problem that you had to solve using the CAR(context, action, result) method. Â  Answer Question"
"Oct 6, 2018",Mechanical Engineer Interview,"Anonymous Interview Candidate in Philadelphia, PA",Declined Offer,Neutral Experience,Average Interview,"I applied online. The process took 5 weeks. I interviewed at Ford Motor Company (Philadelphia, PA) in September 2018.","Very quick and to the point. I understand why would ask the questions they do, they are very interested in specific fields. I feel like the overall process was pretty smooth, but response time could have been better. Very enjoyable. Very quick and to the point. I understand why would ask the questions they do, they are very interested in specific fields. I feel like the overall process was pretty smooth, but response time could have been better. Very enjoyable.",
"Oct 4, 2018",EstagiÃ¡rio Interview,"Anonymous Employee in CamaÃ§ari, Bahia (Brazil)",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 5 days. I interviewed at Ford Motor Company (CamaÃ§ari, Bahia (Brazil)).",O processo seletivo foi bem tranquilo e eficaz. Teve uma entrevista com o RH e outra com o gestor da Ã¡rea. As perguntas foram simples e faceis de responder.,Porque vocÃª quer trabalhar aqui Â  1 Answer
"Oct 4, 2018",Advanced Driver Assistance Systems and Controls Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (Dearborn, MI).",It was 30 minutes Phone interview. I am asked by technical questions regarding my resume and backgrounds. There were three people who asked their questions individually but one of them asked more as a host interviewer.,I am asked about the methods which I published in my recent relative papers. Â  Answer Question
"Sep 30, 2018",Summer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,It was just a 30 to 45 minute phone interview that covered a bunch of behavioral questions. No technical questions asked. Received an offer about one to two weeks later.,,Describe a time where you had to manage your time efficiently Â  Answer Question
"Sep 30, 2018",Software Developer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Ford Motor Company.,Applied through school co-op system and was given an onsite interview after a couple weeks which led to offer. HR was very helpful throughout the hiring process and always responded to emails relatively quickly.,What is the difference between managed and unmanaged languages? Â  Answer Question
"Sep 28, 2018",Product Development Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 2 weeks. I interviewed at Ford Motor Company in October 2017.,There was a one hour long behavioral interview with a manager and a recruiter. I also took a math assessment before the interview. I met the recruiter at my college career fair.,What's an example of a presentation you've given to an unreceptive audience? Â  Answer Question
"Sep 24, 2018",Technical Support Analyst Interview,"Anonymous Employee in Allen Park, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 2+ months. I interviewed at Ford Motor Company (Allen Park, MI) in August 2018.","Applied for this position in the middle of June. Heard word from the hiring manager by the beginning of July for a phone interview. Went through the phone interview pretty smoothly, it was rather simple. Heard from the interview coordinator about 2 weeks later for the in person interview. Flew into to Detroit and stayed at the Dearborn Inn (which is a sight to see). In person interview was pretty stressful. 3 mangers interviewed me simultaneously. Questions were difficult and made me think. Went through the factory tour after the interview which was a really cool experience. Heard back from them about 2 days later and did another phone interview. Got the call about a week later with the offer.",Name a time when you did something innovative and what was the outcome. Â  Answer Question
